rollout_prob_std,fps,frames,avg_q_selected,explained_variance,policy_gradient_bias_correction,P09:episode_rewards,epoch_idx,episode_length,grad_norm,policy_gradient_loss,PMM:episode_rewards,P01:episode_rewards,avg_q_retraced,advantage_norm,policy_entropy,q_loss,policy_loss,model_prob_std
0.08719752418498199,445,7200,-0.0640272381977411,-28.601477471987405,1.1769598721548628e-11,0.0,1,0,0.14999127089951894,0.0007939104931817079,0.0,0.0,-0.06342281321994961,0.11234034982820353,1.9093023171027501,0.004895944807503838,0.0007939104990024741,0.08719752319157123
0.04161646707604329,212,14400,-0.02173106453071038,-277.9898365020752,-1.3456449843296525e-11,0.0,2,0,0.07275282163878431,0.0005495266120609207,0.0,0.0,-0.021513149328529834,0.051215552166104315,2.0729553918043773,0.0011482826744061943,0.0005495265965388777,0.041616467541704574
0.0076562256552279,262,21600,-0.005754989959920446,-12.427581898371379,0.0,0.0,3,0,0.003395565873770626,0.00014580257263029732,0.0,0.0,-0.0058132753552248085,0.016778321626285713,2.194593898455302,2.0875413489799637e-05,0.00014580257263029732,0.007656225950146715
0.010926400466511646,297,28800,-0.004751005124611159,-14.451320139567057,0.0,0.0,4,0,0.004492579936392972,0.00011622491760855761,0.0,0.0,-0.004699083371087908,0.04129620290671786,2.1922282139460245,4.435869650478708e-05,0.00011622491760855761,0.010926400295769174
0.00796492313966155,316,36000,-0.003755585049899916,-14.853116671244303,0.0,0.0,5,0,0.0020988138124114117,7.137258847554525e-05,0.0,0.0,-0.0038311125788216788,0.01918440026541551,2.19435772895813,1.4168913306396765e-05,7.137258847554525e-05,0.007964923248315851
0.00940264924429357,328,43200,-0.004609535762574524,-16.22605497042338,0.0,0.0,6,3324.75,0.003198306688375793,0.00012545339932330536,0.0,0.0,-0.004595784707150111,0.031924498205383615,2.193271358807882,2.4172303589390746e-05,0.00012545339932330536,0.009402649523690344
0.0068678972932199635,337,50400,-0.004603918083012104,-30.968172295888266,0.0,0.0,7,3324.75,0.0013611496083991588,0.00010070794645192413,0.0,0.0,-0.004577668492371837,0.00935055644561847,2.1951581796010333,3.848707414514744e-06,0.00010070794645192413,0.006867897200087706
0.009219636333485444,347,57600,-0.004457758343778551,-17.607699259122214,0.0,0.0,8,3324.75,0.0018823778053345876,0.00010347282022848958,0.0,0.0,-0.004365369173077245,0.010433739423751831,2.1936655759811403,5.646815933838904e-06,0.00010347282022848958,0.009219636504227916
0.008484644054745635,355,64800,-0.0038415173689524333,-8.754768133163452,0.0,0.0,9,3324.75,0.0021709776410544423,7.752197440519618e-05,0.0,0.0,-0.0037500730870912474,0.02547403471544385,2.194101643562317,1.744332597960844e-05,7.752197440519618e-05,0.008484644194444021
0.0064074263907969,363,72000,-0.0030822971758122245,-16.97175738016764,0.0,0.0,10,3324.75,0.001664620498842952,7.593308790395288e-05,0.0,0.0,-0.003100283428405722,0.01745165657872955,2.195304298400879,1.1658529391903964e-05,7.593308790395288e-05,0.0064074263287087286
