<<<<<<< HEAD
#{"t_start": 1542563573.5747385, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,155,5.207705
2.0,225,10.147733
1.0,175,14.280149
2.0,187,18.376027
0.0,129,21.164341
1.0,157,24.634514
1.0,159,28.276984
3.0,271,34.409409
0.0,127,36.989475
4.0,299,44.220009
1.0,172,47.957431
1.0,155,51.554313
1.0,155,54.718701
1.0,177,58.810506
0.0,127,61.501532
0.0,129,64.347613
2.0,204,68.872018
0.0,127,71.631359
3.0,250,77.266841
1.0,173,81.113237
1.0,174,84.90284
0.0,125,87.839114
0.0,129,90.583282
1.0,171,94.376805
2.0,202,98.98917
1.0,150,102.296557
1.0,153,105.649951
0.0,123,108.465532
2.0,225,113.660716
9.0,403,122.92913
2.0,202,127.813504
1.0,172,131.50108
2.0,201,136.106941
0.0,127,138.840328
0.0,129,141.528895
0.0,127,144.25286
3.0,230,149.321528
0.0,127,151.99025
8.0,335,159.596316
1.0,175,163.4227
1.0,173,167.183409
1.0,156,170.535305
1.0,159,174.344306
0.0,127,177.072118
2.0,202,181.559875
1.0,155,185.287106
0.0,127,187.974016
7.0,448,198.413976
2.0,200,202.687691
0.0,127,205.339441
1.0,173,209.369069
0.0,125,211.993862
0.0,129,214.755959
0.0,125,217.400634
0.0,129,220.239017
2.0,202,224.534089
2.0,202,229.096185
2.0,184,233.310993
0.0,127,235.987877
0.0,127,238.620614
0.0,125,241.242026
0.0,129,244.145318
2.0,223,249.18357
1.0,176,253.079706
0.0,127,255.679543
0.0,129,258.481048
0.0,127,261.118371
0.0,129,263.855689
2.0,202,268.357531
0.0,129,271.106371
2.0,202,275.478979
0.0,123,277.951709
3.0,216,282.699691
7.0,322,289.992865
6.0,377,298.504639
0.0,129,301.14071
5.0,350,309.12476
0.0,125,311.713645
0.0,127,314.384977
0.0,129,317.185574
3.0,228,322.057502
1.0,153,325.33754
0.0,129,328.17797
2.0,198,332.404727
2.0,202,336.727694
0.0,129,339.69985
0.0,125,342.278153
1.0,157,345.67564
2.0,202,350.191187
2.0,198,354.289159
0.0,129,356.967529
5.0,350,364.740254
3.0,248,370.076735
0.0,127,372.78908
0.0,129,375.637537
0.0,127,378.357523
1.0,157,381.766516
2.0,200,386.273096
2.0,202,390.373965
0.0,129,393.059606
5.0,352,401.252311
0.0,129,403.965029
2.0,200,408.330289
2.0,200,412.938966
0.0,127,415.701786
5.0,350,423.851208
0.0,125,426.499753
0.0,127,429.133934
5.0,350,437.103661
0.0,127,439.86503
0.0,127,442.52903
5.0,352,450.590412
0.0,129,453.303851
5.0,350,461.287337
5.0,350,469.168961
0.0,127,471.753026
0.0,125,474.341872
2.0,198,478.635968
2.0,205,483.100206
0.0,129,485.727486
0.0,129,488.38235
9.0,380,497.074341
0.0,127,499.86127
10.0,433,509.809397
2.0,202,514.025576
0.0,129,516.91993
0.0,127,519.510743
6.0,400,528.766384
9.0,404,537.578702
0.0,127,540.299157
0.0,127,542.985619
5.0,350,550.707491
2.0,220,555.184568
0.0,129,557.772843
2.0,220,562.841555
5.0,350,570.884896
0.0,129,573.515066
4.0,299,580.317619
2.0,202,584.548968
0.0,129,587.319729
10.0,451,597.408571
1.0,157,600.691197
1.0,173,604.356121
0.0,127,607.038405
1.0,157,610.603156
0.0,129,613.3473
4.0,297,619.637784
5.0,350,627.216943
0.0,127,629.768214
0.0,129,632.639986
0.0,129,635.253177
5.0,350,643.137715
5.0,350,651.211146
0.0,129,653.820323
0.0,129,656.584939
0.0,125,658.941863
5.0,352,666.57285
0.0,129,669.390627
1.0,158,672.566857
0.0,127,675.114905
0.0,125,677.748307
0.0,129,680.615991
0.0,129,683.383749
3.0,246,688.67798
9.0,404,697.897145
10.0,451,707.865347
0.0,127,710.501069
2.0,202,714.868063
3.0,230,719.81802
9.0,404,728.869186
2.0,201,733.221212
3.0,251,738.987555
0.0,129,741.744345
2.0,203,746.163531
9.0,401,754.942453
0.0,127,757.534996
0.0,129,760.442816
1.0,155,763.682606
0.0,129,766.31428
0.0,127,768.867675
1.0,175,772.542278
0.0,129,775.253126
1.0,153,778.296446
6.0,358,786.123637
5.0,350,793.380775
0.0,125,796.151207
1.0,177,799.921861
1.0,172,803.582588
10.0,433,813.190963
1.0,157,816.469414
1.0,157,819.905103
1.0,176,823.557523
0.0,127,826.20582
0.0,129,829.008573
2.0,188,833.130919
0.0,127,835.809036
7.0,428,845.471565
6.0,276,851.401795
9.0,404,860.279049
3.0,269,866.083015
2.0,204,870.474027
7.0,253,876.113515
5.0,350,883.522977
3.0,233,888.738595
0.0,129,891.304751
6.0,339,898.808211
5.0,346,906.301511
6.0,376,914.706198
3.0,252,919.933856
2.0,184,924.023369
1.0,155,927.17124
13.0,541,939.010648
3.0,244,944.161901
1.0,157,947.32627
10.0,432,956.718236
3.0,230,961.520342
6.0,378,970.070898
2.0,202,974.303094
2.0,202,978.890376
10.0,472,989.415988
1.0,155,992.693808
1.0,155,995.828139
3.0,220,1000.851505
0.0,127,1003.427636
6.0,378,1011.704953
5.0,350,1019.417556
1.0,172,1023.061459
2.0,203,1027.584058
1.0,157,1030.83836
2.0,203,1034.958724
2.0,202,1039.326083
13.0,569,1051.739582
2.0,202,1056.018254
1.0,157,1059.40772
5.0,331,1066.395308
5.0,326,1073.73702
10.0,434,1083.352933
2.0,204,1087.619612
5.0,332,1094.643467
1.0,155,1097.850847
11.0,484,1108.122945
6.0,364,1115.995439
3.0,231,1120.839112
8.0,498,1131.683919
4.0,246,1137.098552
1.0,176,1140.726617
1.0,173,1144.45176
1.0,155,1147.701308
1.0,177,1151.523565
0.0,129,1154.215204
3.0,213,1158.729073
1.0,154,1161.985723
2.0,183,1165.612081
2.0,203,1169.852868
2.0,202,1174.109309
9.0,360,1181.687584
2.0,199,1185.957433
1.0,157,1189.117572
6.0,378,1197.450382
14.0,486,1208.164768
3.0,218,1212.495884
2.0,202,1216.762743
3.0,248,1221.937876
1.0,172,1225.401787
7.0,424,1234.331114
1.0,174,1238.0147
4.0,322,1244.704459
6.0,341,1251.797413
4.0,246,1256.731473
5.0,328,1263.741822
9.0,404,1272.289046
4.0,279,1278.095834
29.0,480,1288.395204
3.0,237,1293.194756
4.0,261,1298.521011
5.0,327,1305.291307
10.0,460,1314.611254
8.0,279,1320.228589
6.0,376,1328.094635
10.0,502,1338.649924
4.0,265,1344.014347
4.0,302,1350.375892
5.0,294,1356.41706
6.0,344,1363.541239
5.0,329,1370.328369
8.0,435,1379.403079
8.0,455,1388.619101
12.0,320,1395.154614
7.0,427,1404.022448
14.0,488,1414.162338
3.0,236,1418.86446
19.0,432,1427.907914
6.0,366,1435.503575
8.0,423,1444.177537
4.0,260,1449.375454
10.0,540,1460.350469
8.0,297,1466.361666
8.0,460,1475.904792
7.0,388,1483.485674
15.0,468,1492.896892
7.0,352,1500.181034
15.0,453,1509.299761
9.0,348,1516.374457
10.0,451,1525.432383
8.0,295,1531.338466
9.0,487,1541.447568
8.0,279,1547.01147
8.0,406,1555.344199
15.0,414,1563.787219
18.0,459,1573.102212
11.0,425,1581.829322
6.0,340,1588.239967
7.0,418,1596.889933
11.0,527,1607.665258
6.0,318,1614.191909
11.0,581,1625.904352
9.0,472,1635.546451
14.0,544,1646.634319
8.0,398,1654.807715
17.0,579,1666.466938
11.0,462,1675.895302
22.0,434,1684.729358
24.0,658,1698.099743
23.0,502,1708.060324
8.0,441,1717.085369
15.0,442,1725.962118
13.0,465,1735.182212
12.0,464,1744.589768
7.0,420,1753.02113
18.0,630,1765.77053
13.0,372,1773.403044
12.0,553,1784.42839
14.0,399,1792.539638
8.0,419,1800.916677
4.0,299,1806.770822
18.0,543,1817.884258
14.0,585,1829.827847
13.0,334,1836.207296
9.0,474,1845.572896
19.0,738,1860.550498
24.0,479,1869.805452
17.0,621,1882.783157
11.0,560,1894.023629
8.0,416,1902.456555
9.0,440,1911.192285
10.0,503,1921.16064
13.0,658,1934.441975
19.0,580,1945.9091
11.0,585,1957.544758
14.0,644,1970.467421
12.0,597,1982.467645
19.0,730,1996.970751
23.0,600,2008.849523
14.0,665,2021.958978
23.0,549,2032.75818
16.0,748,2047.692309
17.0,672,2061.045399
20.0,717,2075.385056
12.0,544,2086.06156
23.0,436,2094.554501
17.0,619,2107.302371
20.0,705,2121.163401
16.0,642,2134.074058
22.0,532,2144.565464
17.0,597,2156.653639
12.0,580,2168.130328
13.0,596,2179.867091
41.0,1070,2201.050787
16.0,610,2213.060013
23.0,826,2229.621871
14.0,535,2240.144525
15.0,650,2253.013342
26.0,855,2269.892386
23.0,513,2279.873442
21.0,656,2292.630459
24.0,784,2308.153304
8.0,449,2316.781375
38.0,961,2335.700639
26.0,804,2351.81552
15.0,688,2365.213245
19.0,717,2379.429859
21.0,792,2394.842816
42.0,1012,2414.507538
16.0,671,2428.033136
18.0,714,2441.896672
11.0,420,2449.959471
19.0,873,2466.95035
24.0,862,2483.840433
20.0,842,2500.427873
29.0,674,2513.486747
37.0,1105,2535.065322
22.0,517,2545.122647
39.0,1165,2568.183498
33.0,626,2580.395327
28.0,724,2594.316194
23.0,724,2608.631413
24.0,493,2618.260126
38.0,933,2636.328559
15.0,697,2650.003608
33.0,903,2667.405347
32.0,964,2686.087968
50.0,1114,2707.680532
6.0,328,2714.059103
26.0,644,2726.546375
27.0,968,2745.426358
11.0,512,2755.357594
23.0,832,2771.494443
35.0,1002,2791.048394
44.0,1227,2814.907475
28.0,726,2828.891103
25.0,748,2843.324424
35.0,831,2859.732486
35.0,1061,2880.568893
22.0,926,2898.494574
39.0,1042,2918.738209
30.0,923,2936.807424
40.0,1106,2958.313271
39.0,968,2977.15529
62.0,1112,2998.531852
30.0,778,3013.728183
66.0,1170,3036.536196
42.0,1111,3057.991216
26.0,857,3074.991104
46.0,1176,3097.803621
55.0,1170,3120.465977
93.0,1311,3145.871414
59.0,936,3163.95081
39.0,855,3180.444636
25.0,793,3195.529132
35.0,822,3211.657054
26.0,782,3226.725486
63.0,1347,3252.941308
61.0,1420,3280.646924
41.0,1137,3302.523834
43.0,1010,3321.885489
49.0,1049,3342.439173
54.0,1287,3367.559566
38.0,927,3385.345628
49.0,1146,3407.652297
41.0,1085,3428.461555
48.0,716,3442.193021
27.0,1012,3461.68004
61.0,1367,3488.123416
46.0,1013,3507.283999
65.0,1157,3529.52799
55.0,1278,3554.468099
65.0,1258,3578.719767
78.0,1309,3604.330453
105.0,1391,3631.315554
24.0,690,3644.377672
105.0,1398,3671.452873
55.0,787,3686.296596
362.0,1445,3714.235683
24.0,762,3729.323299
85.0,1669,3761.609046
45.0,1023,3781.07761
66.0,1001,3800.726754
74.0,1104,3822.022151
70.0,1353,3848.143765
49.0,1054,3868.183986
30.0,823,3884.389362
69.0,1228,3907.709576
109.0,1040,3927.57093
70.0,1044,3947.516569
65.0,1272,3972.239201
86.0,1291,3996.933818
113.0,1310,4022.466971
82.0,1404,4049.937293
111.0,1746,4083.471712
59.0,1355,4109.415232
97.0,1386,4136.129057
88.0,1499,4165.006449
80.0,1240,4189.043006
95.0,1212,4212.284488
28.0,784,4227.315637
25.0,745,4241.455695
77.0,1335,4266.999186
47.0,1221,4290.353559
245.0,1220,4313.93218
63.0,957,4332.476476
74.0,1156,4354.555801
68.0,1054,4374.673339
36.0,1064,4395.240279
63.0,1037,4415.34621
60.0,1373,4442.009227
104.0,1442,4469.733739
65.0,1187,4492.265612
117.0,1498,4520.970651
93.0,1149,4542.99712
60.0,1078,4563.619801
77.0,1284,4588.202748
41.0,951,4606.441522
59.0,1315,4631.646068
194.0,1146,4653.55206
75.0,1369,4679.801056
73.0,1052,4699.877768
55.0,1034,4719.906651
150.0,1581,4750.031235
26.0,931,4767.894583
315.0,1718,4800.91323
71.0,1238,4824.729931
47.0,1022,4844.053086
62.0,1201,4867.391353
59.0,969,4886.024289
217.0,1472,4914.311731
195.0,1734,4947.523386
24.0,461,4956.784126
134.0,1835,4992.002855
207.0,1813,5026.60301
274.0,1648,5058.079809
134.0,1478,5086.591784
160.0,1664,5118.779518
48.0,748,5133.04442
74.0,1032,5152.684177
172.0,1611,5183.479527
56.0,1217,5207.276645
75.0,1019,5226.767012
288.0,1630,5257.979249
110.0,1501,5286.966949
137.0,1819,5321.899691
294.0,2105,5362.448165
32.0,746,5376.498719
80.0,1228,5400.230525
124.0,1576,5430.798886
369.0,2116,5471.491023
28.0,611,5483.811415
127.0,1527,5513.393128
66.0,1243,5537.652546
151.0,1807,5572.813818
90.0,1393,5599.903899
205.0,1810,5634.986254
94.0,1220,5658.6387
141.0,1617,5690.028225
357.0,1758,5724.076591
249.0,1625,5755.397181
228.0,1101,5776.701502
282.0,1632,5808.097843
87.0,1083,5828.969459
293.0,1829,5864.530639
315.0,2142,5905.589181
283.0,1737,5939.421415
172.0,1707,5972.275016
140.0,1446,6000.255879
323.0,1808,6035.356489
115.0,1524,6064.787942
156.0,1700,6097.576513
47.0,679,6110.590485
315.0,1276,6135.361565
90.0,1381,6162.072764
132.0,1569,6192.168449
283.0,1818,6226.95273
95.0,1270,6251.455166
257.0,1728,6285.028635
153.0,1481,6313.482641
225.0,1510,6342.598037
208.0,1581,6373.091713
202.0,1825,6408.379472
348.0,1848,6444.409157
94.0,1368,6470.39778
102.0,1201,6493.762837
61.0,1095,6514.847536
115.0,1285,6539.428595
62.0,1250,6563.7873
281.0,1346,6589.870972
146.0,1605,6620.764757
300.0,1803,6655.702539
174.0,1796,6690.400403
103.0,1486,6718.978324
235.0,1622,6750.22156
252.0,2013,6789.194968
91.0,1395,6816.141298
167.0,1634,6847.630012
243.0,1840,6883.351068
166.0,1646,6915.278549
92.0,1610,6946.313429
207.0,1535,6975.948305
64.0,1003,6995.059632
135.0,1384,7021.100031
20.0,791,7035.986005
314.0,1675,7067.955093
324.0,1960,7105.556387
274.0,1624,7136.766015
0.0,129,7139.561191
7.0,248,7145.584239
0.0,129,7148.28435
11.0,271,7154.480416
73.0,1046,7174.583729
97.0,1157,7196.856288
344.0,1895,7232.491169
112.0,1559,7262.09125
154.0,1787,7295.740399
359.0,1786,7329.850707
189.0,1391,7356.033623
136.0,1445,7383.510485
194.0,1626,7414.682396
4.0,255,7420.0388
20.0,702,7434.133601
17.0,668,7447.665739
39.0,951,7466.050328
82.0,1492,7495.449458
199.0,1781,7529.68991
273.0,1813,7564.39821
100.0,1336,7589.879873
264.0,1745,7623.29831
286.0,1485,7651.751749
259.0,1788,7685.775947
167.0,1611,7716.754218
327.0,1631,7748.344129
397.0,1837,7782.953198
325.0,2190,7824.897688
338.0,2363,7869.666099
222.0,1756,7903.072828
57.0,1229,7926.242774
333.0,2128,7966.42027
402.0,1923,8003.102002
304.0,1853,8038.454294
77.0,1227,8061.602635
307.0,1550,8091.128215
268.0,1535,8120.64797
252.0,1541,8150.37067
315.0,2075,8189.564009
341.0,1761,8223.189825
393.0,2200,8264.995507
170.0,1895,8301.00307
217.0,1699,8332.88874
283.0,1706,8365.102185
36.0,998,8384.434903
0.0,127,8387.071909
215.0,1888,8422.920283
214.0,1611,8453.411193
252.0,1433,8480.538243
193.0,1619,8511.145971
171.0,1747,8544.707803
81.0,1276,8568.911379
7.0,369,8576.401638
375.0,1974,8614.198887
316.0,1891,8650.283518
151.0,1679,8682.344507
343.0,1862,8717.874825
336.0,1641,8748.731634
235.0,1308,8774.03054
314.0,1870,8809.706254
400.0,2295,8853.721697
375.0,1534,8882.753475
121.0,1444,8910.449368
1.0,153,8913.767026
8.0,359,8921.120759
6.0,321,8927.036841
346.0,2332,8971.323816
12.0,539,8982.216784
293.0,1633,9013.024088
308.0,1635,9043.888188
325.0,2028,9082.504555
327.0,1660,9114.044021
367.0,2021,9152.516595
318.0,2012,9190.540012
252.0,1552,9220.150053
299.0,1615,9250.727031
23.0,785,9266.336782
2.0,180,9270.24851
1.0,153,9273.55316
40.0,834,9290.250513
316.0,1974,9327.81561
332.0,1995,9365.79998
338.0,1728,9398.6555
313.0,1492,9426.932304
294.0,2181,9468.723208
355.0,1979,9506.261955
372.0,1904,9542.661905
171.0,1678,9574.687192
386.0,1665,9606.89009
344.0,1949,9644.162645
18.0,683,9657.309326
3.0,253,9662.765479
71.0,1330,9688.501726
39.0,911,9705.874134
378.0,1924,9742.684083
357.0,2129,9783.146415
56.0,1093,9804.056997
208.0,1295,9828.556272
357.0,1647,9859.992984
318.0,1669,9891.614497
399.0,2555,9939.96559
185.0,1086,9960.635338
369.0,1705,9993.42499
71.0,1142,10015.167557
1.0,157,10018.501553
161.0,1451,10046.157433
220.0,1878,10082.174627
351.0,1880,10117.932593
3.0,223,10122.151849
7.0,348,10129.110918
313.0,1622,10159.746425
349.0,2046,10198.557029
318.0,1890,10234.609115
290.0,1951,10271.774458
396.0,2343,10315.933694
55.0,1265,10340.222999
346.0,1460,10367.89879
238.0,1746,10401.075338
360.0,1581,10431.591395
318.0,1746,10464.677058
345.0,1172,10486.74742
338.0,1769,10520.638917
381.0,2218,10562.909606
363.0,2295,10606.561953
418.0,2207,10648.11548
374.0,2200,10689.90906
55.0,1050,10709.921427
305.0,1826,10744.511728
392.0,2211,10786.767408
368.0,2128,10827.648683
275.0,1848,10862.411354
340.0,1624,10893.649325
337.0,1559,10922.845913
349.0,2067,10962.221207
411.0,2454,11009.246507
37.0,959,11027.087492
48.0,959,11045.275409
395.0,2398,11090.81417
358.0,1802,11125.266349
332.0,1610,11155.568597
380.0,2183,11196.627421
408.0,2528,11244.814137
402.0,2818,11298.298215
153.0,1501,11326.730678
341.0,2066,11365.735951
389.0,2426,11411.579953
274.0,1085,11431.749213
394.0,2349,11476.501605
251.0,2165,11517.598392
285.0,2066,11556.154957
120.0,1594,11586.133023
397.0,2403,11631.765656
408.0,1719,11664.104205
353.0,1881,11699.824382
410.0,2530,11747.631859
353.0,1735,11780.852699
304.0,1847,11815.624812
398.0,2472,11862.172204
403.0,2534,11909.755807
352.0,1842,11944.708318
382.0,1997,11982.353527
411.0,2489,12029.350833
374.0,4251,12108.628633
187.0,1409,12135.239729
216.0,1400,12161.739874
360.0,1866,12196.784056
427.0,3118,12256.023761
291.0,1721,12288.397543
396.0,2091,12327.74383
394.0,1803,12362.077911
416.0,2787,12414.955753
258.0,1704,12447.31628
36.0,996,12466.42313
11.0,392,12475.145077
1.0,157,12479.101167
307.0,1906,12515.875032
153.0,1255,12539.699523
1.0,174,12542.971766
0.0,127,12545.921024
241.0,1750,12579.258374
147.0,1206,12601.921318
417.0,2314,12646.210251
131.0,1596,12676.356876
224.0,1879,12711.741081
410.0,2606,12761.459371
285.0,1812,12796.112527
371.0,2328,12840.272702
317.0,1937,12877.244731
366.0,2143,12918.09268
345.0,2159,12959.107563
318.0,2470,13005.700037
334.0,2221,13047.377602
402.0,2191,13088.43118
372.0,2380,13133.596893
424.0,2964,13190.063994
416.0,2864,13244.583742
392.0,1595,13274.591862
237.0,1200,13296.748429
381.0,1977,13334.238441
409.0,2374,13378.850518
345.0,2043,13417.608812
397.0,3146,13477.156547
366.0,1764,13510.837522
400.0,2544,13558.493908
=======
#{"t_start": 1542653484.9379547, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,177,5.247365
0.0,129,6.865733
0.0,129,8.448861
0.0,129,10.058351
4.0,263,13.098817
0.0,129,14.383355
3.0,213,17.096762
1.0,173,19.238405
4.0,281,22.697131
0.0,127,24.149602
1.0,175,26.431468
1.0,175,28.807496
1.0,178,30.942387
1.0,155,32.82513
0.0,129,34.379851
1.0,155,36.130219
0.0,125,37.67184
0.0,125,39.128295
1.0,173,41.374454
3.0,273,44.687877
1.0,157,46.642246
2.0,186,48.934285
0.0,129,50.447021
0.0,129,51.763236
0.0,129,53.184003
2.0,202,55.487402
0.0,125,57.049388
2.0,187,59.427125
1.0,170,61.496146
4.0,298,65.311213
2.0,222,67.946004
