rollout_prob_std,PMM:episode_rewards,advantage_norm,avg_q_retraced,epoch_idx,policy_gradient_bias_correction,fps,avg_q_selected,model_prob_std,episode_length,policy_entropy,frames,explained_variance,policy_gradient_loss,P09:episode_rewards,P01:episode_rewards,policy_loss,grad_norm,q_loss
0.06810909546911717,0.0,0.0888986440996329,-0.007461321998077134,1,6.222230601130955e-12,445,-0.006749525619670749,0.06810909360647202,0,1.980351456006368,7200,-24.40099811553955,-0.00017561488555960144,0.0,0.0,-0.00017561487003755853,0.11316568548898599,0.0030305225893243913
0.0608092217395703,0.0,0.04358000469704469,-0.08648185071263773,2,-6.529752895797121e-11,210,-0.08827210476447363,0.060809223788479964,0,1.9826237539450327,14400,-406.27807909647623,0.0004872264321344725,0.0,0.0,0.0004872263778073223,0.45221236387836333,0.014878684861772247
0.016096110579868157,0.0,0.015233398337538043,-0.0019664113084824444,3,0.0,257,-0.002089808168481492,0.0160961109213531,0,2.1860281864802045,21600,-50.12820494969686,4.575186872462685e-05,0.0,0.0,4.575186872462685e-05,0.004769957540602522,3.399751723615433e-05
0.018083013935635488,0.0,0.04864603380362193,-0.0021108434018970003,4,0.0,291,-0.0019003394370277723,0.018083013935635488,0,2.1842241525650024,28800,-34.76398601531982,3.502765872932893e-05,0.0,0.0,3.502765872932893e-05,0.006398306051414763,6.04245306779679e-05
0.016196789126843213,0.0,0.01956607966373364,-0.003724463571173449,5,0.0,307,-0.0037671934037158887,0.016196789126843213,0,2.186673378944397,36000,-28.451736545562746,8.074283323367126e-05,0.0,0.0,8.074283323367126e-05,0.0026705600975018536,1.7837220228026732e-05
0.019623115286231042,0.0,0.03209081911481917,-0.0033783614325026672,6,0.0,318,-0.003442190793187668,0.019623115348319214,3324.8333333333335,2.1821266969045,43200,-18.367254797617594,6.535270513268188e-05,0.0,0.0,6.535270513268188e-05,0.003998158285560482,2.6438576420180955e-05
0.017287117429077625,0.0,0.00780915852325658,-0.0033798391309877236,7,0.0,327,-0.003451594236927728,0.017287117491165797,3324.8333333333335,2.185616652170817,50400,-72.25246639251709,7.840939293449386e-05,0.0,0.0,7.840939293449386e-05,0.0018218919917182173,9.146740294833459e-06
0.015190398134291173,0.0,0.007611894002184272,-0.0031778376239041486,8,0.0,336,-0.0031429789145477117,0.015190397730718057,3324.8333333333335,2.1880425930023195,57600,-33.28878927230835,6.035543331866696e-05,0.0,0.0,6.035543331866696e-05,0.0015909606190842476,4.363815596282923e-06
0.01814509431521098,0.0,0.02428715182468295,-0.0037621606141328813,9,0.0,345,-0.0038399483387668927,0.01814509437729915,3324.8333333333335,2.184407377243042,64800,-11.465866963068644,7.988483115658103e-05,0.0,0.0,7.988483115658103e-05,0.002528198603092309,1.6627360880268802e-05
0.01715119375536839,0.0,0.019370142215241987,-0.003379236371256411,10,0.0,351,-0.0034751345325882235,0.017151193817456563,3324.8333333333335,2.1857177654902142,72000,-15.781902233759562,7.73835475835464e-05,0.0,0.0,7.73835475835464e-05,0.001954659009387598,1.2222552450680269e-05
0.01747201569378376,0.0,0.035927685505400105,-0.003229838244927426,11,0.0,357,-0.00342636820472156,0.017472015817960103,3324.8333333333335,2.185238234202067,79200,-9.51709532737732,7.681393749408017e-05,0.0,0.0,7.681393749408017e-05,0.0033655458263396705,2.545046289507506e-05
0.013004856649786234,0.0,0.008431075979024172,-0.0017336383694782852,12,0.0,363,-0.0017117151602481803,0.013004856339345375,3324.9166666666665,2.1905872503916424,86400,-12.764489634831746,4.122142804590112e-05,0.0,0.0,4.122142804590112e-05,0.0008178578694910743,3.246341537040583e-06
0.010502294016381105,0.0,0.00594006577351441,-0.0012468802354608972,13,0.0,368,-0.0012538773007690907,0.010502293799072504,3324.9166666666665,2.1927603403727214,93600,-55.15854371388753,2.795714223490601e-05,0.0,0.0,2.795714223490601e-05,0.0010925024428959872,2.5058164259424605e-06
0.011468702337394159,0.0,0.005940103406707446,-0.001616107643349096,14,0.0,372,-0.0016229334306747964,0.011468702306350073,3324.9166666666665,2.1920124689737954,100800,-15.639835278193155,3.0675542332877134e-05,0.0,0.0,3.0675542332877134e-05,0.0007646525335982843,1.4066456401451433e-06
