fps,model_prob_std,frames,episode_length,advantage_norm,policy_entropy,policy_gradient_bias_correction,policy_loss,P01:episode_rewards,avg_q_selected,explained_variance,q_loss,P09:episode_rewards,avg_q_retraced,epoch_idx,rollout_prob_std,PMM:episode_rewards,grad_norm,policy_gradient_loss
453,0.04034676955391963,7200,0,0.0896752629429102,2.1327243645985923,0.0,-0.0002447461825795472,0.0,0.0027209929527695445,-5.313724040985107,0.00013149094957043417,0.0,0.002443848582818949,1,0.0403467670083046,0.0,0.013226653462300675,-0.0002447461825795472
233,0.0345233418357869,14400,0,0.4622130299607913,2.0928173502286276,-4.040078951360789e-10,-0.0012295165927904842,0.0,-0.0076651330882062515,-6.105123472213745,0.04135373829664483,0.0,-0.010821205071018388,2,0.03452334109072884,0.0,0.7696547856875625,-0.0012295162202614544
241,0.00808796080139776,21600,0,0.034187542460858825,2.1945181369781492,0.0,-6.0810038735326086e-05,0.0,0.0032526143671323857,-6.336553986867269,2.003075702911398e-05,0.0,0.003291494003497064,3,0.008087960770353675,0.0,0.002618512540152754,-6.0810038735326086e-05
274,0.009776099414254228,28800,0,0.035444471923013525,2.1932747840881346,0.0,-0.00022046547276962278,0.0,0.004308396577835083,-5.766962162653605,1.7714740518689117e-05,0.0,0.004136659554205835,4,0.0097760993676881,0.0,0.0022972487820012567,-0.00022046547276962278
300,0.0076176940463483335,36000,0,0.01876230544100205,2.194772410392761,0.0,-0.00012364408660990497,0.0,0.0035330537784223756,-5.763765811920166,5.854463876175942e-06,0.0,0.0034666168037801983,5,0.0076176940463483335,0.0,0.0010652502072236412,-0.00012364408660990497
322,0.007926152770717938,43200,3323.9166666666665,0.024979106802493333,2.194520870844523,0.0,-9.679393283477112e-05,0.0,0.0036223014971862237,-5.409271128972372,8.315275666366991e-06,0.0,0.0036137189405659833,6,0.007926152662063639,0.0,0.0014633252436613,-9.679393283477112e-05
342,0.0063490874444444975,50400,3323.9166666666665,0.013632684107869863,2.195566940307617,0.0,-9.856854655178419e-05,0.0,0.0034430846571922302,-5.096799357732137,2.8323481027806944e-06,0.0,0.0034005362773314118,7,0.006349087304746111,0.0,0.0008752419054602318,-9.856854655178419e-05
357,0.007304541456202666,57600,3323.9166666666665,0.01689765974879265,2.195025157928467,0.0,-0.0001078336303407923,0.0,0.0032559071434661744,-5.051983626683553,7.261503806906452e-06,0.0,0.0032141891463349265,8,0.007304541176805893,0.0,0.0012223537523444602,-0.0001078336303407923
371,0.007228674398114284,64800,3323.9166666666665,0.01995270069067677,2.1950114647547405,0.0,-0.00013786381808434574,0.0,0.0031495414519061645,-5.315678691864013,6.045176712632383e-06,0.0,0.0030507754068821668,9,0.007228674211849769,0.0,0.0010643039621039616,-0.00013786381808434574
383,0.006739598171164592,72000,3323.9166666666665,0.014974378577123085,2.1952754179636638,0.0,-7.684229285208252e-05,0.0,0.0029131426475942136,-5.731256087621053,3.5432770611502443e-06,0.0,0.002914899750612676,10,0.0067395980625102915,0.0,0.000782624081186414,-7.684229285208252e-05
393,0.00816587540321052,79200,3323.9166666666665,0.023621744103729726,2.1944443782170615,0.0,-0.00011201098750461825,0.0,0.003036475166057547,-5.175873676935832,7.0715322484223485e-06,0.0,0.002984239246385793,11,0.008165875372166434,0.0,0.0011305435900232394,-0.00011201098750461825
402,0.006049262592568994,86400,3324.5833333333335,0.011298918801670273,2.1957125822703043,0.0,-6.043840551986553e-05,0.0,0.0024199865991249682,-5.210807720820109,1.8318453044230409e-06,0.0,0.0024167206215982636,12,0.006049262561524908,0.0,0.0005845092799723778,-6.043840551986553e-05
411,0.00698772300966084,93600,3324.5833333333335,0.011223988017688195,2.1952418088912964,0.0,-6.15887319857696e-05,0.0,0.0027209952007979155,-4.495485242207845,1.9343591797375365e-06,0.0,0.0027085262117907405,13,0.006987722869962454,0.0,0.0006746086176872407,-6.15887319857696e-05
421,0.006180023370931546,100800,3324.5833333333335,0.012737339766075214,2.1956357320149738,0.0,-6.126013144391133e-05,0.0,0.0023553541279397903,-4.177941604455312,4.546398548654906e-06,0.0,0.0023397392826154826,14,0.006180023370931546,0.0,0.0007838705537591373,-6.126013144391133e-05
430,0.00802267015290757,108000,3324.5833333333335,0.023278040920073788,2.194588383038839,0.0,-4.743217911406343e-05,0.0,0.002826399984769523,-4.955196777979533,6.465015191755204e-06,0.0,0.0028389238053932787,15,0.00802267004425327,0.0,0.0010992107108137661,-4.743217911406343e-05
439,0.005936967053761085,115200,3324.5833333333335,0.010463837262553474,2.195714171727498,0.0,-6.991989034759172e-05,0.0,0.002309048540579776,-5.374704758326213,2.275065762091799e-06,0.0,0.0022842833617081246,16,0.005936966991672913,0.0,0.0005079306979384227,-6.991989034759172e-05
442,0.007968756626880881,122400,3324.527777777778,0.021295080129020212,2.1945843566891776,1.5200111064988263e-06,-9.648682717953408e-05,0.0,0.0025766906780301637,-4.610246302641143,5.53704132667322e-06,0.0,0.002538550049975356,17,0.011131472029578085,0.0,0.0010026412710671588,-9.800683844368535e-05
438,0.005953986210220064,129600,3324.527777777778,0.012152118520692935,2.1957755184741243,4.93778631832448e-07,-3.252788575187041e-05,0.0,0.0017899268589514706,-4.141007510168212,1.7825682351025125e-06,0.0,0.001798045619188564,18,0.013040829864293635,0.0,0.0005728813824155085,-3.302166465053753e-05
437,0.005882135946229692,136800,3324.527777777778,0.011816460888625846,2.195812778340446,-1.4451462953311472e-06,-6.580014061274229e-05,0.0,0.0017132655271589533,-4.007040453950564,2.182865769047308e-06,0.0,0.0016764257064676802,19,0.01192859590526611,0.0,0.0005705763507528724,-6.435499419340423e-05
436,0.005795121675556791,144000,3324.527777777778,0.01152258322716484,2.19584426558207,-1.318523134286113e-06,-5.655643275845467e-05,0.0,0.0012626969848947953,-4.217823560200041,1.7502096868778181e-06,0.0,0.0012227791626494198,20,0.01390938610089795,0.0,0.0005118759926569989,-5.523790916586656e-05
435,0.0052760933624939315,151200,3324.527777777778,0.010423211087177078,2.196073011772285,-1.291317817902132e-07,-2.588193813102483e-05,0.0,0.0008090203546234882,-4.254543434560385,1.3679383124330557e-06,0.0,0.0007912771759912475,21,0.012285174159924426,0.0,0.0004335599061847489,-2.5752806190177526e-05
434,0.00550132322094059,158400,3324.527777777778,0.01192402483145945,2.1959723069064028,-2.251880591564517e-07,-2.1045593416056185e-05,0.0,0.0005415080368428662,-4.671332187986306,1.7595265592539713e-06,0.0,0.0005286408227004796,22,0.011536293854627188,0.0,0.0005039146060977919,-2.0820404980896614e-05
433,0.005073484724928522,165600,3324.5416666666665,0.008496507101449053,2.1961642646221886,-1.2227415321253616e-06,-1.5985657181154568e-05,0.0,0.00022793384187845677,-4.209598839328111,8.835228494905587e-07,0.0,0.00021099414696246273,23,0.01177258231294892,0.0,0.00033597120281544555,-1.4762915871348548e-05
433,0.005033453421312428,172800,3324.5416666666665,0.008537675736499111,2.196186719186722,6.465064159262738e-08,-7.649151960207453e-06,0.0,0.00018894119083029789,-4.814664469377075,1.0648317024607205e-06,0.0,0.0001856955276778333,24,0.009980624103659972,0.0,0.000359508953251215,-7.713802858941359e-06
432,0.004932862010971697,180000,3324.5416666666665,0.007832982332184515,2.196222696364241,-7.940654800394731e-07,-1.2964720095256838e-05,0.0,2.5768982576879454e-05,-5.179438850523302,9.98787054719202e-07,0.0,1.2730305052467951e-05,25,0.010291000432932315,0.0,0.0003353046649874446,-1.2170654967466481e-05
