P09:episode_rewards,model_prob_std,rollout_prob_std,advantage_norm,q_loss,frames,policy_entropy,epoch_idx,episode_length,explained_variance,grad_norm,P01:episode_rewards,PMM:episode_rewards,policy_gradient_bias_correction,policy_loss,avg_q_retraced,policy_gradient_loss,fps,avg_q_selected
0.0,0.030561770933369797,0.030561770250399908,0.08505221543212732,0.0001663109121485225,7200,2.159666919708252,1,0,-5.115366776784261,0.011779540173707661,0.0,0.0,0.0,0.0004660486797850657,-0.010086825272689262,0.0004660486797850657,398,-0.010550347901880742
0.0,0.04924285933375359,0.04924285759528478,0.15343476124107838,0.00119444024154897,14400,2.099334990978241,2,0,-4.2460059722264605,0.06169142361783713,0.0,0.0,0.0,0.0006168905024727185,-0.013178521612038216,0.0006168905024727185,278,-0.013461128156632186
0.0,0.01981228661412994,0.019812286148468652,0.048019939785202345,3.306219387013698e-05,21600,2.1793182452519733,3,0,-4.58626831372579,0.004267805024911118,0.0,0.0,0.0,3.522208074476415e-05,-0.005594105118264755,3.522208074476415e-05,308,-0.005451009732981523
0.0,0.016446300658086936,0.016446300533910593,0.050503441318869594,3.112016074737767e-05,28800,2.1866711616516112,4,0,-3.8775275468826296,0.003389493373892043,0.0,0.0,0.0,0.0001002517283874719,-0.005888622890536984,0.0001002517283874719,331,-0.005874683832128843
0.0,0.01686956317474445,0.016869562895347676,0.03208532917002837,1.290030393950777e-05,36000,2.1861942529678347,5,0,-3.2377787590026856,0.0020327030501698447,0.0,0.0,0.0,0.0001965379963318507,-0.004824447678402066,0.0001965379963318507,346,-0.004932334118833145
0.0,0.015084383512536685,0.015084383512536685,0.04339886450519164,2.153505151909485e-05,43200,2.188321320215861,6,3324.8333333333335,-3.885808022816976,0.002647712943927171,0.0,0.0,0.0,0.00015664645300906462,-0.005254307707461218,0.00015664645300906462,357,-0.005288090681036314
0.0,0.01808483221878608,0.01808483200147748,0.03236755505204201,1.579751587996725e-05,50400,2.182653045654297,7,3324.8333333333335,-3.934573252995809,0.0023794180498424625,0.0,0.0,0.0,0.00017314218921455905,-0.0036239090297992033,0.00017314218921455905,367,-0.003741448814980686
0.0,0.026624516366670528,0.02662451540430387,0.029973290115594863,1.0014306690209196e-05,57600,2.1672823349634807,8,3324.8333333333335,-3.6387883186340333,0.003064708511405425,0.0,0.0,0.0,0.00015719775886585314,-0.005609466810710728,0.00015719775886585314,374,-0.005640082045768698
0.0,0.012677206782003243,0.012677206564694643,0.03644701639811198,1.5195061678241473e-05,64800,2.1909505049387614,9,3324.8333333333335,-3.8106500625610353,0.001969185296036883,0.0,0.0,0.0,0.00011401157020524503,-0.0033017536935706932,0.00011401157020524503,381,-0.003368310413012902
0.0,0.014456295625617106,0.014456295532484849,0.028735303195814292,1.0379162601263185e-05,72000,2.189121659596761,10,3324.8333333333335,-3.2815044641494753,0.0016963627733701957,0.0,0.0,0.0,0.00013584411152199513,-0.0033402565711488324,0.00013584411152199513,386,-0.0034213928505778314
0.0,0.01456428471331795,0.01456428508584698,0.038614943623542786,1.6346241879242976e-05,79200,2.188941009839376,11,3324.8333333333335,-3.4429753541946413,0.0023011216849634876,0.0,0.0,0.0,0.00020864818907284644,-0.003997400395261744,0.00020864818907284644,391,-0.004147796480295559
0.0,0.012729101597021024,0.01272910147284468,0.024477175374825796,6.73847977547363e-06,86400,2.190839719772339,12,3324.9166666666665,-4.4405543327331545,0.0012851690448522125,0.0,0.0,0.0,0.0001317783026631029,-0.001855156341722856,0.0001317783026631029,395,-0.0019546651805285365
0.0,0.02390271807089448,0.023902717543145022,0.025621807326873143,1.0476093530087383e-05,93600,2.1733212153116863,13,3324.9166666666665,-3.678558031717936,0.0022320751502802566,0.0,0.0,0.0,9.148707034304001e-05,-0.003800932818558067,9.148707034304001e-05,398,-0.0038373548886738718
