explained_variance,PMM:episode_rewards,episode_length,grad_norm,P01:episode_rewards,epoch_idx,model_prob_std,policy_loss,policy_gradient_bias_correction,rollout_prob_std,P09:episode_rewards,fps,policy_gradient_loss,avg_q_selected,q_loss,advantage_norm,avg_q_retraced,frames,policy_entropy
-4.790615479151408,0.0,0,0.008734053624411636,0.0,1,0.03874183744192124,0.0005232543566307868,0.0,0.038741836821039516,0.0,371,0.0005232543566307868,-0.01194320439050595,6.48496772555518e-05,0.07076609805226326,-0.01160452663898468,7200,2.1370760520299275
-4.939409518241883,0.0,0,0.14496851307541733,0.0,2,0.05128826517611742,-0.00027421659187136055,-2.960991822102225e-11,0.05128826312720776,0.0,290,-0.00027421656082727474,-0.012578405030672002,0.0037584870465252607,0.2081646344314019,-0.013211805260410377,14400,2.0426760991414388
-4.198666898409526,0.0,0,0.0025765740202683047,0.0,3,0.011914559950431189,-3.607097229026598e-05,0.0,0.011914559702078501,0.0,335,-3.607097229026598e-05,-0.0022009794551801558,1.739372076675257e-05,0.03664274315039317,-0.0023275026777885917,21600,2.1902501344680787
-4.351976958910624,0.0,0,0.002675978248855772,0.0,4,0.010124402617414792,-4.577960993022619e-05,0.0,0.010124402136231463,0.0,368,-4.577960993022619e-05,-0.001641537183119605,2.124199510641726e-05,0.0437165725355347,-0.0017811282343852023,28800,2.1930477062861127
-4.174922641118368,0.0,0,0.0016843766225836515,0.0,5,0.007653277600184083,9.78343331553333e-05,0.0,0.007653277413919568,0.0,390,9.78343331553333e-05,-0.002707570030664404,9.978116827369376e-06,0.02751386215289434,-0.002655918853512655,36000,2.1948105096817017
-4.940278244018555,0.0,3324.8333333333335,0.0022170652172295627,0.0,6,0.007460765276725094,8.797635988836797e-06,0.0,0.00746076504389445,0.0,408,8.797635988836797e-06,-0.0014542755292495714,1.4461697992373956e-05,0.03604130434493224,-0.0014754928493251403,43200,2.1947664976119996
-4.611672560373942,0.0,3324.8333333333335,0.0014550876683822398,0.0,7,0.004935283431162437,7.504657775522597e-05,0.0,0.004935283299225072,0.0,423,7.504657775522597e-05,-0.0011292833466238033,6.650683174787749e-06,0.022102817334234713,-0.0010741071581530073,50400,2.196110645929972
-3.9897528092066445,0.0,3324.8333333333335,0.0011985634582596847,0.0,8,0.005185963686866065,-1.999758205784019e-06,0.0,0.00518596350060155,0.0,434,-1.999758205784019e-06,-0.00022286019714859624,4.177206452974739e-06,0.018112160606930654,-0.0002170660144959887,57600,2.196075216929118
-3.6808730522791544,0.0,3324.8333333333335,0.001412725391577643,0.0,9,0.004842974113610884,4.584745214136395e-05,0.0,0.004842973973912497,0.0,443,4.584745214136395e-05,-0.0016445637331344188,8.680890535591365e-06,0.027481155190616845,-0.0016279421746730805,64800,2.196201133728027
-3.3070122400919595,0.0,3324.8333333333335,0.001025690977086498,0.0,10,0.004019350535236299,0.00014081950472852138,0.0,0.004019350364493827,0.0,452,0.00014081950472852138,-0.0015397683513583616,5.76289536790379e-06,0.020670240403463443,-0.0013906520311138594,72000,2.1964818557103474
