frames,PMM:episode_rewards,explained_variance,P01:episode_rewards,avg_q_selected,avg_q_retraced,episode_length,policy_entropy,q_loss,model_prob_std,policy_gradient_bias_correction,fps,advantage_norm,grad_norm,rollout_prob_std,policy_gradient_loss,epoch_idx,P09:episode_rewards,policy_loss
7200,0.0,-17.744471391042072,0.0,-0.023868096324925623,-0.02357209992284576,0,2.0379019101460774,0.0006869871455516355,0.062145899732907614,-8.074634710864004e-13,453,0.11743121072649956,0.04940262805216923,0.06214590097467105,0.00011587135240915813,1,0.0,0.00011587135240915813
14400,0.0,-344.5308036327362,0.0,-0.10506126455535801,-0.10677591430333754,0,1.9741160164276759,0.026792466207552934,0.054624298587441444,5.793151884129581e-11,214,0.09447191062693795,0.6103900858390628,0.054624299177279075,0.0004288495460741615,2,0.0,0.00042884963532590823
21600,0.0,-116.45586236317952,0.0,-0.0010572020316127844,-0.0011227594688534737,0,2.1937571287155153,1.80671779541323e-05,0.008815766141439477,0.0,266,0.008850244944915176,0.003079093494913649,0.008815766141439477,1.6996172541894337e-05,3,0.0,1.6996172541894337e-05
28800,0.0,-47.24061098098755,0.0,-0.0021387943869437247,-0.002025558084521132,0,2.1923722346623737,3.779734261115664e-05,0.010755807006110748,0.0,305,0.03564879267166058,0.0040098618379805695,0.010755806959544619,4.888953759897656e-05,4,0.0,4.888953759897656e-05
36000,0.0,-61.37044785817464,0.0,-0.000300766730348793,-0.0002908792594098486,0,2.194784688949585,1.1194160841417518e-05,0.0075204123742878435,0.0,314,0.01496945486093561,0.0017957743847028715,0.007520412296677629,1.2832649038803841e-06,5,0.0,1.2832649038803841e-06
43200,0.0,-34.19467048645019,0.0,-0.0005041960941525759,-0.0004535282043737728,3324.3333333333335,2.1938732067743936,1.7364007862852305e-05,0.00891808335048457,0.0,306,0.023517966200597585,0.0022514138885331323,0.008918083257352312,1.886320669844584e-05,6,0.0,1.886320669844584e-05
50400,0.0,-87.69451637268067,0.0,-0.00010391316476064579,-7.224824051566732e-05,3324.3333333333335,2.194151759147644,6.944934771505965e-06,0.008300967266162236,0.0,320,0.004851831984706223,0.0014642950804514801,0.008300967359294495,2.3923960469574014e-06,7,0.0,2.3923960469574014e-06
57600,0.0,-83.53909726142884,0.0,0.0004580849607009441,0.00042385561027913354,3324.3333333333335,2.1918551365534467,6.195733381749354e-06,0.011176006651173036,0.0,335,0.007122701546177268,0.001827860932563486,0.011176006526996692,-9.71409378773084e-06,8,0.0,-9.71409378773084e-06
64800,0.0,-28.74529857635498,0.0,-0.00033701834099701954,-0.00031445186211082423,3324.3333333333335,2.1937715927759807,1.04398712873414e-05,0.009081831232955058,0.0,349,0.01784602595337977,0.0015545377541027754,0.009081831217433016,4.426415942286136e-06,9,0.0,4.426415942286136e-06
72000,0.0,-68.28531878789266,0.0,0.0002168613031244604,0.00014107453571341467,3324.3333333333335,2.1944197098414104,7.4519100498567544e-06,0.00814186983431379,0.0,359,0.013004254658396046,0.0012393028177406556,0.00814186983431379,-1.8397604482818981e-06,10,0.0,-1.8397604482818981e-06
79200,0.0,-14.75034122467041,0.0,-0.0004710678806607878,-0.00044219308171401887,3324.3333333333335,2.193823536237081,1.3689577027283425e-05,0.009031858388334512,0.0,368,0.025570710515603425,0.0019577143441696326,0.009031858434900642,7.3311632718287e-06,11,0.0,7.3311632718287e-06
86400,0.0,-23.36071557998657,0.0,9.322640823180942e-05,0.00010525511573481102,3324.25,2.1949285666147866,2.227833671023897e-06,0.007465904889007409,0.0,376,0.0055189511040225625,0.0005710818452251669,0.007465904951095581,6.3119836833417745e-06,12,0.0,6.3119836833417745e-06
93600,0.0,-44.238340091705325,0.0,0.00047662900383329545,0.0004711798654777037,3324.25,2.193038058280945,3.299143353766946e-06,0.009886933723464608,0.0,384,0.005672492684486012,0.0010757730603019918,0.009886933428545793,-8.229856674309606e-06,13,0.0,-8.229856674309606e-06
100800,0.0,-56.50125894546509,0.0,0.0005079069087514654,0.000466326717287302,3324.25,2.1944003105163574,2.1535150106425743e-06,0.008137764533360799,0.0,392,0.004756774054840207,0.0007630713398521112,0.008137764253964027,-1.043327199744167e-05,14,0.0,-1.043327199744167e-05
108000,0.0,-19.64307648340861,0.0,-5.645757497442598e-05,-0.00016892300042551747,3324.25,2.1941694339116413,1.3921394350783581e-05,0.008588324937348565,0.0,399,0.026674815732985736,0.001959942215873672,0.008588324937348565,4.343982520064553e-06,15,0.0,4.343982520064553e-06
115200,0.0,-25.147703329722088,0.0,-0.0001643144704758015,-0.0001456044099237867,3324.25,2.1954397281010944,3.671643430417741e-06,0.006548400114600857,0.0,406,0.009160959192862113,0.0006932291367834463,0.0065484003474315005,-1.0672828859507413e-06,16,0.0,-1.0672828859507413e-06
122400,0.0,-15.022471819378081,0.0,-0.0002531523497028892,-0.00031035535933413136,3324.277777777778,2.1946878342401415,1.0997820484320412e-05,0.007843337835234013,1.4703738094383534e-06,408,0.022583106831473757,0.001650202891282554,0.010680761098795172,1.74498199134726e-05,17,0.0,1.8920193760211064e-05
129600,0.0,-12.321623083769332,0.0,4.1974180081060166e-05,4.6267499098831575e-05,3324.277777777778,2.195422937311824,2.4885976001852533e-06,0.006606163918293233,4.543813767727575e-06,402,0.010277350269878286,0.0006544790680415221,0.01808522707551087,1.923825987927666e-06,18,0.0,6.46763983845342e-06
136800,0.0,-12.014199586539041,0.0,-2.854863624711157e-05,-3.314630131110371e-05,3324.277777777778,2.195792020417395,1.8156680842542112e-06,0.00586977475510649,-9.83909850267459e-08,397,0.009207432584938096,0.0005442341229986532,0.017915455164713046,8.666928842366191e-07,19,0.0,7.683020157051404e-07
144000,0.0,-10.760660717462107,0.0,-0.00034260373850662854,-0.0003463579452167921,3324.277777777778,2.1961418191970337,1.8832224248987651e-06,0.005146085028351831,-7.115776115286719e-07,393,0.009445531160811519,0.0005108483946966524,0.0161715630246893,6.668369104531203e-06,20,0.0,5.956791475426374e-06
151200,0.0,-11.793060223236287,0.0,-0.0002476887663503654,-0.0002515034469367057,3324.277777777778,2.196240378274489,1.832805468875255e-06,0.004910991623758698,-1.004146038948934e-06,390,0.00931662578885037,0.00048752437734212454,0.017044203687143863,4.184797984763122e-06,21,0.0,3.18065199438956e-06
158400,0.0,-10.828384904638973,0.0,-0.000332378974346719,-0.00030741578279891115,3324.277777777778,2.196185830634566,1.6780050112373796e-06,0.005044609172295012,-1.8230096862992255e-06,386,0.009265116109903906,0.00048400382765309373,0.016451080687286512,4.931983212313744e-06,22,0.0,3.1089735088289965e-06
165600,0.0,-9.840971291140905,0.0,-0.0001999088027465253,-0.00020262315731450886,3324.375,2.196045200238152,1.0304077623105785e-06,0.005389134492355562,-2.3545239146353465e-06,384,0.006970892176050544,0.00034708996324227915,0.016063195968117002,8.047186198377442e-06,23,0.0,5.69266226635692e-06
172800,0.0,-10.817661066944636,0.0,-0.0003530281871778445,-0.000348487310200451,3324.375,2.195567140484613,7.504453286488215e-07,0.006309615186441482,-1.9005952446478989e-06,383,0.006104254627430309,0.000315302608652771,0.01565113029758712,8.623647198833663e-06,24,0.0,6.723051862183732e-06
180000,0.0,-10.062854878107707,0.0,-0.00025050312493981946,-0.0002540333652128567,3324.375,2.195623454461022,7.42866157912444e-07,0.0062419262483886006,-6.190229361071679e-07,381,0.006186116103670516,0.0003091689090344058,0.01398418856062187,5.087106339922391e-06,25,0.0,4.468083417936979e-06
187200,0.0,-10.607600496401863,0.0,-0.0005091193620021854,-0.0005135258443370399,3324.375,2.195826471381717,1.1801222789168592e-06,0.005876532567883028,-1.1514702361973643e-06,379,0.008158578109342627,0.00038607053654259277,0.014858894389130116,1.0630647777775591e-05,26,0.0,9.47917749074115e-06
194400,0.0,-11.39134412192794,0.0,-0.0007115560541962393,-0.0007077323104884408,3324.375,2.196060996475043,6.069659820396462e-07,0.005351755045521906,9.313663095741783e-07,377,0.005508497567079277,0.00027555174986873424,0.013490109883862296,1.8529392240043154e-05,27,0.0,1.9460758577187332e-05
201600,0.0,-8.511381758167628,0.0,-0.0008402064305138233,-0.0008404644797351297,3324.516666666667,2.196123021919891,9.053056076380712e-07,0.0052058517664951825,-1.04681566374374e-06,375,0.00714882086459997,0.0003269415952248016,0.013814610334620786,1.9430373482658258e-05,28,0.0,1.838355777724749e-05
208800,0.0,-9.221359646257268,0.0,-0.0009477427947841875,-0.0009404459797097221,3324.516666666667,2.1961475932913483,4.569728894253426e-07,0.005143577239264255,-8.17870299593802e-07,374,0.004852493423217089,0.0002206312718569956,0.014308587236369335,2.0810464552870075e-05,29,0.0,1.999259427778333e-05
216000,0.0,-8.63007997777727,0.0,-0.0008778785880181999,-0.000868376749482224,3324.516666666667,2.195965103204288,4.590214583843018e-07,0.00548900606860924,-1.5537341722949446e-06,372,0.005285642383525901,0.00024258997230688516,0.01447634543314399,1.9260773949294306e-05,30,0.0,1.7707039787583633e-05
223200,0.0,-7.482620313527092,0.0,-0.0007978748943470049,-0.0007946648115258929,3324.516666666667,2.196322464526646,4.218662401347631e-07,0.0047043791739824455,1.226748268712803e-07,371,0.004820222807128818,0.00021145470165635007,0.010896453357612091,1.6378521485685883e-05,31,0.0,1.650119631236857e-05
230400,0.0,-8.329951054665147,0.0,-0.0008678346073129287,-0.0008550045268703129,3324.516666666667,2.1964695460203463,4.5928426532335804e-07,0.004288673760275794,5.262349929726993e-07,371,0.0050438971311494865,0.00021892486371628838,0.012936333249644598,1.908762269820465e-05,32,0.0,1.9613857670222725e-05
237600,0.0,-6.550485659837722,0.0,-0.0007709988548849075,-0.000761642391430325,3324.516666666667,2.196513191404797,4.2399424685945863e-07,0.004171174174980335,2.1089349939555874e-07,371,0.005108342113741119,0.0002144766790778908,0.009534769071513667,1.76100515909943e-05,33,0.0,1.7820945132959264e-05
244800,0.0,-6.2468562086170945,0.0,-0.0006513405319659911,-0.000647672990891527,3324.5138888888887,2.1965100625930005,3.348037701140759e-07,0.004178446002339047,-6.342393826918501e-07,370,0.004409877301018843,0.00017768337687343867,0.012204750757331828,1.815132181215168e-05,34,0.0,1.7517082396715463e-05
252000,0.0,-5.838146622956458,0.0,-0.0007471437732231149,-0.0007433603558138751,3324.5138888888887,2.196318713773495,2.3826646477173703e-07,0.004624714424598249,7.021155262647462e-08,368,0.0039321280032794835,0.00015363739979363427,0.011964115372087546,1.6425028580973416e-05,35,0.0,1.64952400964058e-05
259200,0.0,-5.472758100838572,0.0,-0.0006368439824803285,-0.0006251224637857395,3324.5138888888887,2.196436050969456,2.3110590876676711e-07,0.0043438632978852,-3.7509876780465346e-08,367,0.0038212272080622996,0.00015132446154123735,0.014283085140469236,1.512396155931434e-05,36,0.0,1.5086451609195572e-05
266400,0.0,-3.8331254378474346,0.0,-0.0004828850017554963,-0.00048624591062590953,3324.5138888888887,2.1965517107270096,3.2130291876106545e-07,0.004057808653996062,2.3259039650348144e-07,366,0.004756988491481261,0.00017829026596019292,0.010640398296145393,1.0507765796109376e-05,37,0.0,1.0740356227326036e-05
273600,0.0,-3.626666880516463,0.0,-0.00046436376191975014,-0.0004578948426848799,3324.5138888888887,2.1966002378072687,2.1222111716751416e-07,0.003908538832526318,3.904913762564163e-07,364,0.0037626230695354808,0.0001424105296432561,0.012271185242121292,1.2206671957986574e-05,38,0.0,1.259716332146065e-05
280800,0.0,-3.714953210862383,0.0,-0.0003628198728135126,-0.00035987768498122776,3324.595238095238,2.1966305003847397,2.980276797293597e-07,0.0038196361031372183,1.839650041141678e-07,363,0.0045157866616038584,0.00015801986252793551,0.012379895745322021,7.9293932617469e-06,39,0.0,8.113358228395588e-06
288000,0.0,-5.218769766380863,0.0,-0.0002981819862275934,-0.0002966540623713015,3324.595238095238,2.1966414478090077,1.4330093529122213e-07,0.0037778655130344704,-1.9269946585276257e-08,363,0.0029617577348266004,0.00010369881072187052,0.011801383555802104,7.624850530871702e-06,40,0.0,7.605580556101176e-06
295200,0.0,-5.377202799029293,0.0,-0.0005120147794909754,-0.0005062022389554639,3324.595238095238,2.196386547258922,1.732976990873532e-07,0.004440853322231551,-2.6257940788133014e-07,362,0.0033871818243873322,0.00012283534798556648,0.011703481388191456,1.1167608284299126e-05,41,0.0,1.0905028881302496e-05
302400,0.0,-3.2424540841721354,0.0,-0.0002718342674982658,-0.0002660857667545089,3324.595238095238,2.1966252331412033,1.693627479187153e-07,0.0038321963427699218,-1.5651877184848986e-07,362,0.0031848410589890874,0.00010987938286593398,0.011660285206895356,5.782240228559604e-06,42,0.0,5.62572147981978e-06
309600,0.0,-2.98298184778905,0.0,-0.00022698352353935569,-0.00022578448297506145,3324.595238095238,2.196585742927274,2.315436555687164e-07,0.003962604621519176,2.5530020003824825e-07,360,0.0038899178066410583,0.00013246952533828722,0.010004197123375132,4.817257084222103e-06,43,0.0,5.072557268369104e-06
316800,0.0,-3.743527118691376,0.0,-0.00018318105953673533,-0.00018265409359816072,3324.595238095238,2.196607008888608,1.9894054920208614e-07,0.003898473901411755,-5.558397254792416e-08,361,0.0035197141495328173,0.000116072827320141,0.012554374404495496,3.663699696171964e-06,44,0.0,3.608115713915545e-06
324000,0.0,-4.827534313826334,0.0,-0.00017125830540885967,-0.00016900604556665126,3324.46875,2.19659798295725,1.6140367254697138e-07,0.003927303638008038,2.528454703674356e-08,360,0.003114683927014032,0.0001009248844284908,0.010910899657796128,4.1658235651826066e-06,45,0.0,4.191108115850825e-06
331200,0.0,-4.438342919752555,0.0,-0.0002219934999869197,-0.00021928303448320275,3324.46875,2.1965420790481818,1.1746838117404417e-07,0.0040756126767777096,1.2512583227014396e-07,359,0.002760712036214061,8.939087380690941e-05,0.011231990558404487,4.1099397031710625e-06,46,0.0,4.235065568541172e-06
338400,0.0,-4.222258787385083,0.0,-0.00014353060721531707,-0.0001400951948011829,3324.46875,2.1965458343423516,1.0508099201654062e-07,0.004065299461482434,-4.1630114910698133e-08,358,0.002574817841577398,8.613048354908608e-05,0.0094499551553242,4.557557676270812e-06,47,0.0,4.515927543472931e-06
345600,0.0,-3.853740892268363,0.0,-4.514354889480158e-05,-4.511772930685186e-05,3324.46875,2.1966187876746774,1.4779073247886628e-07,0.003864410541312296,-7.492433125731524e-08,358,0.0032167318687655977,0.00010096250392579084,0.010357021095031609,2.28975441287617e-06,48,0.0,2.2148300570166608e-06
352800,0.0,-2.7418622141895157,0.0,-6.095903914467486e-05,-6.101082079312835e-05,3324.46875,2.1966353428111502,9.353419099427133e-08,0.0038135281843459726,3.911796658662501e-07,358,0.002457298686934688,7.718790305539601e-05,0.009120315614857996,1.2835116617435335e-06,49,0.0,1.6746913516312262e-06
360000,0.0,-4.78455739668674,0.0,-3.679650306828029e-05,-3.342838850070646e-05,3324.7,2.1966123293947293,1.738232901400734e-07,0.0038881787388688987,-6.005489141042769e-08,358,0.0033807255075037203,0.00010677804837872653,0.009235319608253323,4.563955633236145e-07,50,0.0,3.9634067849639814e-07
367200,0.0,-8.677987126919326,0.0,-1.89349923574528e-05,-1.5487736755544362e-05,3324.7,2.1966203249415397,8.304962959493287e-08,0.0038609009920945888,-2.1419835117883603e-08,358,0.0021680735379194386,6.888447713121342e-05,0.011870472846342075,-4.0545205413569463e-07,51,0.0,-4.2687189498848507e-07
374400,0.0,-5.067848285876568,0.0,-0.00016134714543625478,-0.00016163115727219215,3324.7,2.196468921455126,9.167003051465127e-08,0.004283803954945936,-9.089116461374095e-09,357,0.002533379045859282,8.308148009922234e-05,0.009960816000931941,1.8737110970007849e-06,52,0.0,1.864621961107195e-06
381600,0.0,-4.5694275686546915,0.0,-3.257315412164903e-05,-3.509412990096522e-05,3324.7,2.19662351329806,9.017160812827832e-08,0.0038519263730591373,2.573589954968605e-08,357,0.0023577070317411905,7.498516256738997e-05,0.009357813248027699,3.035704160158135e-07,53,0.0,3.2930632691134434e-07
388800,0.0,-3.4577669310096715,0.0,-3.8447736191267994e-05,-3.960916243675416e-05,3324.7,2.196622372761605,1.1439387197545845e-07,0.0038555938992483013,1.2690573139863998e-07,356,0.0028511904304064557,8.793819628781276e-05,0.009480410341980926,8.41865324986653e-07,54,0.0,9.687710588946084e-07
396000,0.0,-3.492590965272257,0.0,-3.373632612006178e-05,-3.1547424894231474e-05,3324.7,2.196624525255627,9.075149799377853e-08,0.00385049960171932,7.527123119524982e-08,356,0.0025531511632489227,7.430071785495296e-05,0.008233709449411084,7.188982953369616e-07,55,0.0,7.941695388800765e-07
403200,0.0,-19.974996111831338,0.0,-2.9304150668846614e-05,-2.948630594190168e-05,3324.74,2.196628713424874,8.878797917267688e-08,0.003838878555260919,4.002611388659581e-08,355,0.002207914412641306,6.667629567373682e-05,0.0087007255879694,8.306024823803525e-07,56,0.0,8.706285921435446e-07
410400,0.0,-20.766024605584523,0.0,-0.00012101713366713698,-0.00012046722372724417,3324.74,2.196571561003488,6.118276047784158e-08,0.003998861965423366,-1.3313070420727843e-07,355,0.0018972706743290004,5.900360021796529e-05,0.009978821583913895,2.607796804712942e-06,57,0.0,2.474666098611165e-06
417600,0.0,-8.276425338753317,0.0,-0.00012925915635327733,-0.00012858950799139566,3324.74,2.1965815030203926,6.415077454857405e-08,0.003969361957885749,1.2218886122564854e-08,355,0.0019971314753875337,6.16537608241595e-05,0.010158059958506514,3.46500741080184e-06,58,0.0,3.4772263141108693e-06
424800,0.0,-7.900426992512739,0.0,-7.636631661047303e-05,-7.302574587162907e-05,3324.74,2.1966287387926307,8.502528631990432e-08,0.0038399507411138525,-1.1305481273330379e-07,354,0.002323759029194879,6.777754980743372e-05,0.009915544697784112,1.1043472116424468e-06,59,0.0,9.912923967469353e-07
432000,0.0,-4.35194460201831,0.0,-3.957292994298379e-05,-3.853504224800433e-05,3324.74,2.196634926278755,5.5827536979600545e-08,0.0038202455336728168,5.6605476073171466e-08,354,0.001906922525481725,5.559953464759076e-05,0.009688873275980186,1.1607300778432335e-07,60,0.0,1.7267849276230593e-07
439200,0.0,-7.951617583487399,0.0,-4.487500068958924e-05,-4.516818509480733e-05,3324.79,2.19663144518774,9.082749544891049e-08,0.003831986834972027,-1.1148763640062336e-08,354,0.002470071580719762,7.113890523657157e-05,0.008610171280245707,1.4845462066719822e-06,61,0.0,1.4733974457369164e-06
446400,0.0,-136.22227990663242,0.0,-3.726418512582898e-05,-3.7851533588310256e-05,3324.79,2.1966463406502257,4.894673361960708e-08,0.003783522043876084,2.1765792322087e-07,354,0.0016310568443106371,4.869110764447636e-05,0.009462447520299252,4.739697304279034e-07,62,0.0,6.916276608976484e-07
453600,0.0,-12.593196604813217,0.0,-0.00010989971149587455,-0.00010955996118627448,3324.79,2.1965565668464335,5.7941356769837326e-08,0.004046650057702902,1.3375823897651817e-07,354,0.0020181799657592618,6.215596034697615e-05,0.00714307713032843,1.5724125650037315e-06,63,0.0,1.706170805540507e-06
460800,0.0,-31.478801065219773,0.0,-4.078357052705202e-05,-4.3648293467584604e-05,3324.79,2.1966461244556634,6.117121225517703e-08,0.003782862226741152,7.021722635702952e-08,354,0.001852019187885566,5.524994674755728e-05,0.008337832399882332,7.00181507644051e-07,64,0.0,7.703987446995421e-07
468000,0.0,-5.273106519821144,0.0,-4.658083347984692e-05,-4.607889326963225e-05,3324.79,2.1966321239206525,7.555465859304866e-08,0.003830312941458678,-1.4276798335998735e-07,354,0.0022200978033140046,6.378666449689414e-05,0.00954258607783005,7.231048661063204e-07,65,0.0,5.80336900805814e-07
