P01:episode_rewards,policy_gradient_loss,epoch_idx,advantage_norm,policy_loss,explained_variance,rollout_prob_std,policy_gradient_bias_correction,policy_entropy,PMM:episode_rewards,fps,q_loss,P09:episode_rewards,model_prob_std,avg_q_selected,frames,episode_length,avg_q_retraced,grad_norm
0.0,-9.156189298664685e-05,1,0.11828524793187777,-9.156189638209374e-05,-9.26741505463918,0.13006211469570797,-1.0967562795449747e-12,1.6980336785316468,0.0,468,0.0015325475813976178,0.0,0.13006211469570797,-0.03232476854075988,7200,0,-0.03179221603786573,0.07269547140772568
0.0,-0.008183346242132454,2,2.137345921993256,-0.0081833463716445,-2.338142055273056,0.20671310691783826,-1.3753685537621624e-10,0.9284411612861276,0.0,218,0.043546139657701134,0.0,0.20671310635904472,0.6211638735616968,14400,0,0.6194089205586352,1.412484908169694
0.0,-0.005933182604106454,3,0.44684106855032346,-0.005933182604106454,-194.57099759578705,0.017964684590697288,0.0,2.183133260409037,0.0,275,0.0015136611367779552,0.0,0.01796468471487363,-0.009230329177808017,21600,0,-0.012222213763743639,0.029495662362784114
0.0,0.0002457755370414816,4,0.027832824007297554,0.0002457755370414816,-40.75170634587606,0.015777820907533168,0.0,2.1872597217559813,0.0,317,2.2358244450515485e-05,0.0,0.015777820938577256,-0.0107275045166413,28800,0,-0.010711460715780656,0.0029033485900367435
0.0,0.00018616571445212077,5,0.01192752899757276,0.00018616571445212077,-61.91022825241089,0.014715416853626569,0.0,2.1885526895523073,0.0,341,7.167513228978351e-06,0.0,0.014715417039891083,-0.008987705657879512,36000,0,-0.008885214229424794,0.0013812587278395326
0.0,0.00022947910341220752,6,0.022609713044948875,0.00022947910341220752,-33.69321967760722,0.014871361199766397,0.0,2.1883571624755858,0.0,320,1.4106121489021461e-05,0.0,0.014871361168722312,-0.009270088281482458,43200,3324.3333333333335,-0.009083328520258267,0.002079753553677868
0.0,0.00017530450459162238,7,0.006044903513975441,0.00017530450459162238,-197.48617550929387,0.015772361308336258,0.0,2.186987066268921,0.0,331,5.9940549618886506e-06,0.0,0.015772361308336258,-0.008100322742636005,50400,3324.3333333333335,-0.008030319477741917,0.0013397241587076113
0.0,0.0001820538275448295,8,0.004171882391286393,0.0001820538275448295,-238.61419474283855,0.018762022784600655,0.0,2.1830751101175943,0.0,345,5.724313215675162e-06,0.0,0.01876202253624797,-0.008294748235493898,57600,3324.3333333333335,-0.008175861416384577,0.0017322692057467
0.0,0.0001685855081329161,9,0.015221389763367673,0.0001685855081329161,-33.04594551722209,0.0144380750755469,0.0,2.1888229767481486,0.0,357,8.718198968911868e-06,0.0,0.014438075168679157,-0.007925316536178192,64800,3324.3333333333335,-0.007830358669161796,0.0014636572997330844
0.0,0.00017081650997473238,10,0.011434638096640507,0.00017081650997473238,-79.41756273905436,0.01478194510564208,0.0,2.1884538729985556,0.0,369,5.321929462335599e-06,0.0,0.014781945074597994,-0.007621790717045466,72000,3324.3333333333335,-0.007589396306624015,0.0011501355789896137
0.0,0.0001703826181862193,11,0.023300567090821764,0.0001703826181862193,-10.094486713409424,0.014502737081299226,0.0,2.188785608609517,0.0,379,1.1337416815138113e-05,0.0,0.014502737112343312,-0.007946296424294511,79200,3324.3333333333335,-0.007809788857897123,0.001649184282182034
0.0,0.00017417282700383415,12,0.006207661827405294,0.00017417282700383415,-28.864832178751627,0.013485675243039926,0.0,2.189922841389974,0.0,387,2.036804012561788e-06,0.0,0.013485675118863583,-0.006884100226064523,86400,3324.125,-0.0067846825191130245,0.000651536462400295
